거점ID,전기차 여부,주소,거점명
1921,EV,서울 서초구 반포2동 5-1,신반포역 1번출구
2575,GA,서울 영등포구 당산동5가 9-2,당산역 11번출구(삼성쉐르빌)C
2144,GA,서울 강남구 논현동 117-7,강남구청역 3번출구
2484,GA,서울 마포구 공덕동 370-4,공덕역 2번출구(서울창업허브)
1255,GA,서울 강서구 가양동 18-24,홈플러스 가양점
855,GA,서울 송파구 잠실동 192-2,잠실먹자골목(부광빌딩)
738,GA,서울 강서구 공항동 25-8,송정역 2번출구
422,TO,서울 마포구 성산동 370,마포구청
200,GA,서울 광진구 구의동 199-18,구의동
1939,GA,서울 구로구 천왕동 산 25-8,천왕초등학교 앞(천왕이펜하우스S)
2241,GA,서울 관악구 신림동 1727,임광관악파크 아파트
2405,GA,서울 성북구 길음동 1070-32,길음역 8번출구(실내낚시터)
1228,GA,서울 용산구 한남동 522-44,한남역 1번출구
916,TO,서울 마포구 합정동 136,양화진공영
1908,GA,서울 강서구 등촌동 631-5,하이마트 가양점
1842,GA,서울 서대문구 홍제동 22-3,GS칼텍스 홍제동
1071,GA,서울 송파구 신천동 7-14,잠실역 9번출구
2204,GA,서울 양천구 신월동 1063,신정뉴타운롯데캐슬아파트
2435,GA,서울 동작구 흑석동 28  ,흑석동 한강현대아파트
755,GA,서울 강북구 수유동 174-17,수유역 8번출구
402,TO,서울 송파구 잠실동 40-1,롯데백화점 잠실
564,TO,서울 관악구 남현동 1063-1,사당역 6번출구
199,GA,서울 강남구 역삼동 733-8,구역삼세무서교차로(남국빌딩)
1937,GA,서울 송파구 문정동 652-1,문정역 3번출구
2367,GA,서울 강동구 성내동 554,NH농협은행 별관주차장
1053,GA,서울 용산구 이촌로54길,이촌역 4번출구
2045,GA,서울 노원구 월계1동 291-12,월계1동 거주자우선주차구역
1183,GA,서울 서대문구 충정로3가 470,충정로역 8번출구
906,GA,서울 서초구 양재동 1-38,양재전화국
1990,GA,서울 은평구 불광동 645,불광롯데캐슬아파트
150,GA,서울 중구 신당동 142-5,신당역 3번출구
2421,GA,서울 마포구 도화동 25-66,공덕역 효성해링턴스퀘어
1164,GA,서울 강동구 천호동 329,천호유수지
2043,GA,서울 강서구 과해동 676,김포공항
560,GA,서울 중랑구 면목3동 570,사가정역(까치공원)
926,GA,서울 은평구 진관동 65-22,에코테라스(윌슨파킹)
864,GA,서울 서대문구 창천동 29-90,신촌역 엘리트주차장
2008,GA,서울 송파구 장지동 884,위례 2차아이파크
752,GA,서울 강북구 수유동 10-4,수유역 5번출구
1220,GA,서울 마포구 서교동 353-6,하이마트 홍대입구역점
581,GA,서울 강남구 삼성동 151-5,삼성중앙역 5번출구(Z.A.G. POT)
245,GA,서울 구로구 구로동 806-68,남구로역
1061,GA,서울 강남구 일원본동 716-2,일원역
2139,GA,서울 강남구 개포동 153,개포동역 8번출구(GDIP)
499,GA,서울 강북구 미아동 207-24,미아역 8번출구
1225,GA,서울 용산구 한남동 728-27,한강진역
2447,GA,서울 동작구 흑석동 224-1,중앙대병원
535,GA,서울 동작구 신대방동 425,보라매병원
729,GA,서울 성북구 동선동2가 133,성신여대 앞
2418,GA,서울 광진구 중곡동 638-3  ,호텔더디자이너스 건대점
360,GA,서울 중구 을지로6가 18-21,동대문역사문화공원역 14번출구
1969,GA,서울 강서구 화곡동 424-94,화곡1동 주민센터 옆
2455,GA,서울 서초구 우면동 763,남서울농협하나로마트 우면점
609,EV,서울 마포구 상암동 1643,상암 월드컵3단지아파트
1001,GA,서울 중랑구 면목동 378-10,용마산역
300,GA,서울 구로구 구로동 120-5,대림역 2번출구
1171,GA,서울 동대문구 청량리동 235-4,청량리역 3번출구
