위도,경도,거점ID,전기차 여부,주소,거점명
37.50518,126.9525,1137,GA,서울 동작구 상도1동 500,중앙대 후문
37.48972,127.0684,105,GA,서울 강남구 개포동 183-1,개포동공원
37.52558,126.8707,2539,GA,서울 양천구 목동 962,이마트 목동점
37.4644,127.0377,907,GA,서울 서초구 양재동 215,양재하이브랜드
37.54829,126.8644,381,GA,서울 양천구 목동 615-1,등촌역 6번출구
37.67388,127.0464,327,GA,서울 도봉구 도봉동 624-105,도봉시장(법조타운 공영)
37.54565,126.9327,404,GA,서울 마포구 구수동 60,광흥창역 5번출구
37.48295,127.0136,2410,GA,서울 서초구 서초동 1451-57,남부터미널역 5번출구(오륜주차장)
37.50578,126.957,1136,GA,서울 동작구 흑석동 200-95,중앙대 중문
37.57954,126.8902,282,GA,서울 마포구 상암동 1605,누리꿈스퀘어
37.54935,127.0678,1289,GA,서울 성동구 송정동 68-44,화양사거리
37.67302,127.0834,591,TO,서울 노원구 상계동 37-7,상계3.4동주민센터
37.4722,126.9232,244,GA,서울 관악구 난곡동 626-82,남강중학교
37.58299,127.0045,316,GA,서울 종로구 동숭동 25-5,대학로거리(뮤지컬센터)
37.57241,126.8051,106,TO,서울 강서구 방화동 844,개화산역
37.56695,126.9822,2175,GA,서울 중구 다동 111,을지로입구역 2번출구
37.51039,127.0588,580,GA,서울 강남구 삼성동 159 (좌측 입구),삼성역(오크우드호텔)
37.49316,127.1267,1934,GA,서울 송파구 가락동 133-12,문정동 현대아파트교차로
37.55714,126.9251,1950,GA,서울 마포구 동교동 166-6,홍대입구역 8번출구
37.52061,127.0288,2380,GA,서울 강남구 신사동 587-1,강남을지병원앞 교차로(호텔선샤인)
37.64655,127.033,872,GA,서울 도봉구 쌍문동 103-1,쌍문역 3번출구
126.9327,37.48477,2567,GA,서울 관악구 신림동 1412-4,현대자동차 신림지점
37.60869,126.9333,687,GA,서울 은평구 녹번동 5,서울혁신파크
37.48664,127.1073,1887,GA,서울 강남구 수서동 721-1,수서 하니움
37.61881,126.9349,1873,GA,서울 은평구 불광동 641,북한산힐스테이트3차
37.57635,126.8996,611,GA,서울 마포구 상암동 1145-1,상암DMC역 7번출구
37.57269,127.0243,831,TO,서울 동대문구 신설동 114-29,신설동역(9번출구 풍물시장)
37.53957,126.8674,2545,GA,서울 양천구 목동 741-16,목동 스타힐스
37.51008,127.024,280,GA,서울 강남구 논현동 140,논현역(영동프라자)
37.56477,126.9117,721,GA,서울 마포구 성산동 56-1,성산2교사거리
37.67507,127.059,2219,GA,"서울 노원구 상계동 1121-32,33",상계동 르비앙
37.5595,126.9526,549,GA,서울 서대문구 북아현동 215,북성초교
37.49439,127.0132,169,GA,서울 서초구 서초동 1714-18,교대역 11번출구
37.52271,127.0236,777,GA,서울 강남구 신사동 550-11,신구초교스포츠센터
37.50713,127.0672,2262,GA,서울 강남구 대치동 1004,삼성역 동일타워
37.51476,127.1053,1073,TO,서울 송파구 신천동 29,잠실역
37.59377,126.9236,1034,GA,서울 은평구 응암동 232-3,은평병원
37.48624,126.9806,1050,GA,서울 동작구 사당동 138-3,이수역 12번출구
37.47969,126.8843,2419,GA,서울 금천구 가산동 60-19,롯데팩토리아울렛 가산점
37.4805,126.9485,1866,GA,서울 관악구 봉천동 880-18,리마크빌 관악점
37.50202,127.0246,785,GA,서울 서초구 서초동 1309-9,신논현역 6번출구
37.47925,126.9512,653,GA,서울 관악구 봉천동 865-1,서울대입구역
37.55309,126.8487,2317,GA,서울 강서구 화곡동 1103-6,우장공원입구교차로
37.60547,127.0085,2193,GA,서울 강남구 역삼동 648-8,역삼역 4번출구(648호텔)
37.5527,126.9687,2465,TO,서울 용산구 서계동 47-3,서울역 15번출구(국립극단 옆)
37.49974,126.9351,333,GA,서울 동작구 상도4동 244-181,도화공원
37.49611,126.9852,506,GA,서울 서초구 방배동 761-3,방배동 카페골목
37.48511,126.8972,179,GA,서울 구로구 구로동 188-25,롯데시티호텔 구로
37.50113,126.8914,1889,GA,서울 영등포구 구로동 46,신도림 쌍용플레티넘
37.48246,126.8944,2037,EV,서울 구로구 구로동 235,구로동 한신IT타워
37.59305,127.0192,728,GA,서울 성북구 동선동1가 121-6,성신여대
37.63715,127.0252,753,GA,서울 강북구 번동 446-13,수유역 3번출구
37.58913,127.0763,2105,GA,서울 중랑구 면목동 181-132,중랑초교 옆
37.63994,127.0172,1018,GA,서울 강북구 수유동 392-129,우이초등교앞교차로
37.49576,127.15,416,GA,서울 송파구 마천동 128-9,마천역 1번출구
37.50821,126.9066,2173,GA,서울 영등포구 신길동 299-1,서울도림초등학교
37.48711,126.9303,814,GA,서울 관악구 신림동 1426-6,신림역 7번출구(가야위드안)
37.49537,127.0333,67,GA,서울 강남구 역삼동 829-20,강남역4번출구
37.56216,126.9645,2186,GA,서울 서대문구 충정로3가 463,충정로역 9번출구(국민연금공단)
37.49225,126.9869,507,GA,서울 서초구 방배동 791-3,방배동 카페골목 입구
37.57581,126.8939,2312,GA,서울 마포구 상암동 1634,상암월드컵파크1단지
37.53949,127.1287,1163,GA,서울 강동구 천호동 410-100,천호역 5번출구
37.66826,127.0456,517,GA,서울 도봉구 방학동 718-7,방학역
37.46819,126.9375,272,GA,서울 관악구 신림동 247-2,녹두거리 치안센터 옆
37.5119,126.8332,632,GA,서울 양천구 신정동 1320-7,서남병원
37.61993,127.0587,1993,GA,서울 노원구 월계동 447-1,광운대학교
37.44437,126.9042,1841,GA,서울 금천구 시흥3동 939-4,GS칼텍스 일신
37.55264,126.9244,1276,GA,서울 마포구 상수동 72-1,홍익대학교
37.55159,126.9732,677,GA,서울 용산구 동자동 45,서울역 12번출구
37.4922,127.0818,2113,GA,서울 강남구 일원동 707-3,대청역 3번출구
37.53164,127.0802,1065,GA,서울 광진구 자양동 636-29,자양동우체국 옆
37.48296,126.9743,255,GA,서울 동작구 사당동 318-12,남성역
37.47119,126.9722,2244,GA,서울 관악구 남현동 496-2,서울인헌고등학교 옆
37.55988,126.8131,2128,GA,서울 강서구 공항동 36-12,송정역 3번출구
37.51082,126.9314,302,GA,서울 동작구 대방동 506,대방2차현대아파트
37.64083,127.0679,1202,GA,서울 노원구 중계동 509-1,하계역 1번출구(등나무근린공원 앞)
37.55891,127.0454,1233,GA,서울 성동구 사근동 110,한양대병원
37.5245,126.9237,1938,GA,서울 영등포구 여의도동 23-3,여의도공원앞 교차로
37.49384,127.1249,122,GA,서울 송파구 가락동 124-26,경찰병원역 4번출구
37.45307,126.9111,2542,GA,서울 금천구 시흥동 203-4,시흥동 스타힐스
37.48074,126.9102,649,GA,서울 관악구 신림동 1485-17,서울금천경찰서 앞
37.57826,126.9002,385,GA,서울 은평구 증산동 223-42,디지털미디어시티역 6번출구
37.53266,126.8331,2292,GA,서울 양천구 신월동 804,신월동 노상공영주차장
37.49465,127.1197,2155,GA,서울 송파구 가락동 80-2,성원상떼빌 앞
37.62844,127.0222,2042,EV,서울 강북구 미아동 222-100,미아동 공영주차장
37.58219,127.0344,1049,EV,서울 동대문구 제기동 252,이수브라운스톤아파트
37.6381,126.9191,204,TO,서울 은평구 진관동 66-30,구파발역
37.48632,127.031,904,GA,서울 서초구 서초2동 1359-8,양재역 1번출구
37.57541,126.8906,925,TO,서울 마포구 상암동 1648,에스플렉스센터
37.53869,127.0682,2361,GA,서울 광진구 자양동 5-5,건대입구역 5번출구
